Project,Source files,Visual candidates,Non-public source artifacts,Tier,Status,Source path,Inventory status,Case study
Jood,10,10,0,featured,live,source-assets/MyWorks/Jood App Images,Restored and mapped,Yes
Eureeca,0,0,0,featured,live,Store listing,External store assets still require live verification and rights review,Yes
Taseese – تأسيس,0,0,0,featured,live,Store listing,External store assets still require live verification and rights review,Yes
Aura Fit,44,42,2,featured,private-client,source-assets/MyWorks/AuraFit,Restored; APK and ZIP are source-only,Yes
Eisal,29,29,0,featured,private-client,source-assets/MyWorks/Eisal,Restored and mapped,Yes
Gader – جدير,0,0,0,featured,live,Store listing,External store assets still require live verification and rights review,Yes
Aid for Palestine,21,21,0,case-study,private-client,source-assets/AFP,Restored and mapped; demo/test screenshots approved for normal derivative curation,Yes
Naseeb,31,31,0,case-study,live,source-assets/MyWorks/Naseeb,Restored; includes 29 PNG files and 2 MP4 recordings,Yes
Haraj Aden,7,7,0,case-study,private-client,source-assets/MyWorks/Haraj Aden,Restored and mapped,Yes
Sezon Store,18,17,1,case-study,private-client,source-assets/MyWorks/Sezon Store,Restored; debug APK is source-only,Yes
Talabati – طلباتي,0,0,0,selected,live,Store listing,External store assets still require live verification and rights review,No
Famous Steam,0,0,0,selected,live,Store listing,External store assets still require live verification and rights review,No
Pureness – بيورنس,0,0,0,selected,live,Store listing,External store assets still require live verification and rights review,No
Yalla Call,21,21,0,selected,private-client,source-assets/MyWorks/Yalla Call,Restored and mapped,No
Otlob Ecosystem – مشروع اطلب,52,52,0,selected,private-client,source-assets/MyWorks/مشروع اطلب,Restored and mapped,Yes
Service Mate,22,22,0,archive,portfolio-only,source-assets/MyWorks/Service Mate,Restored and mapped,No
Betweener,18,18,0,archive,portfolio-only,source-assets/MyWorks/Betweener,Restored and mapped,No
Chat Pulse,13,13,0,archive,portfolio-only,source-assets/MyWorks/Chat Pulse,Restored and mapped,No
Learn Sphere,9,9,0,archive,portfolio-only,source-assets/MyWorks/Learn Sphere,Restored and mapped,No
Watchly,10,10,0,archive,portfolio-only,source-assets/MyWorks/Watchly,Restored and mapped,No
Mysterious Questions,10,10,0,archive,portfolio-only,source-assets/MyWorks/Mysterious Questions,Restored and mapped,No
Secret Number,10,10,0,archive,portfolio-only,source-assets/MyWorks/Secret Number,Restored and mapped,No
Waslak – واصلك,16,16,0,archive,portfolio-only,source-assets/MyWorks/تطبيق واصلك,Restored and mapped,No
Sanayie – صنايعي,17,17,0,archive,portfolio-only,source-assets/MyWorks/تطبيق صنايعي,Restored and mapped,No
Shared Application Mockup,4,1,3,shared-source,n/a,source-assets/MyWorks/Application Mockup,Unassigned reusable source; PSD and ZIP files are source-only,No
Shared Backgrounds,2,2,0,shared-source,n/a,source-assets/MyWorks,Two root-level background PNG files; unassigned until curation,No
